"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"AC011511.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011530.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011604.2",6,4,5,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"AC012184.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012213.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012254.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012309.1",1,0,0,22,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AC012531.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012651.1",9,16,5,0,0,0,12,5,7,4,3,14,4,7,4,0,8,54,0,0,0,0,0
"AC013271.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC013394.1",286,456,37,335,188,269,554,202,668,251,247,178,296,359,271,254,347,57,75,60,20,33,24
"AC013470.2",0,3,6,2,24,7,66,24,40,11,6,12,6,1,3,8,35,0,13,70,0,0,0
"AC013489.1",5,12,2,0,0,9,14,5,4,4,0,0,0,2,0,1,0,0,0,0,0,0,0
"AC013717.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC015688.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC015802.6",114,15,68,16,16,4,159,21,155,69,6,0,60,165,5,139,4,20,14,54,11,72,29
"AC015813.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC017083.3",48,2,0,0,0,0,90,0,54,44,0,6,33,47,0,75,0,0,0,0,0,7,0
"AC018362.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018512.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018523.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018630.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018709.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018755.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC019117.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC020636.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC020907.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC020909.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC020915.1",26,91,23,76,71,67,146,124,125,39,49,38,45,31,140,43,53,0,2,47,0,6,0
"AC020915.5",3,31,0,11,0,10,17,28,15,8,1,28,2,2,1,6,2,0,0,12,0,0,0
"AC020922.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC021072.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC021097.2",2,2,0,0,0,1,3,8,9,2,1,0,0,5,6,4,1,0,0,0,0,0,0
"AC021660.3",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC022167.5",0,0,0,0,0,0,4,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0
"AC022335.1",3,14,3,2,0,0,4,2,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0
"AC022384.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022400.6",14,6,17,9,19,16,24,15,17,9,6,13,3,13,0,6,24,0,0,0,0,4,0
"AC022414.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022506.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022826.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023055.1",68,49,5,29,62,24,127,27,49,33,8,17,36,41,9,55,15,0,0,11,16,7,0
"AC023509.3",2,6,11,8,0,0,12,6,3,0,4,1,0,4,3,0,10,0,0,0,0,0,12
"AC024592.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC025165.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC025263.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC025283.3",17,7,40,28,44,138,35,29,26,8,3,43,9,10,28,5,40,47,0,115,35,13,0
"AC025287.4",0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"AC026316.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026398.1",0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026464.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026464.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026464.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026464.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026786.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC026954.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC027644.4",1,7,0,0,0,11,13,0,13,5,1,7,6,2,9,8,7,0,9,11,0,0,0
"AC027796.3",7,9,0,5,0,0,9,14,6,2,0,2,1,2,10,4,0,0,0,47,0,18,0
"AC034102.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036214.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037459.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC040162.1",30,37,145,25,3,137,69,34,43,57,55,61,33,58,21,54,36,0,59,16,30,31,0
"AC046185.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055811.2",3,9,2,0,0,8,5,6,6,0,8,0,1,3,0,4,3,0,0,0,0,3,0
"AC058822.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC064853.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC067752.1",1,0,0,0,0,0,0,2,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0
"AC067968.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068533.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068547.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068580.4",17,76,40,51,0,53,28,56,40,10,16,66,39,25,97,22,11,0,62,6,0,61,29
"AC068631.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068775.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068790.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC068831.7",144,327,319,29,170,91,233,108,188,126,83,69,80,93,133,59,80,0,64,102,157,318,30
"AC068896.1",8,64,14,46,53,73,16,57,32,10,19,54,2,19,41,8,22,68,0,12,0,8,0
"AC068946.1",22,74,15,13,0,27,57,24,68,17,7,4,11,13,0,21,17,0,1,52,9,32,65
"AC068946.2",1,1,0,0,0,15,5,9,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC068987.5",1,0,0,0,0,0,22,2,6,4,0,0,11,5,8,7,1,0,0,0,0,0,0
"AC069257.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC069368.1",0,4,9,0,0,6,2,1,1,2,1,15,1,0,0,1,4,0,0,0,0,0,0
"AC069444.2",3,19,1,0,35,26,11,10,20,6,2,0,0,2,17,8,1,0,0,0,0,0,0
"AC069503.2",0,8,2,0,0,0,3,0,3,0,1,0,1,0,1,2,0,0,0,11,19,0,0
"AC073082.1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0
"AC073111.5",161,266,314,269,517,423,339,330,343,191,203,191,45,296,133,108,332,316,252,476,342,301,35
"AC073283.3",0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC073508.2",3,0,0,0,0,6,4,0,1,2,0,0,3,1,0,3,0,0,16,0,0,0,20
"AC073610.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC073612.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC073896.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC074143.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC078927.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC079447.1",18,14,14,0,48,5,36,17,28,13,2,3,12,15,7,10,22,78,0,11,19,9,0
"AC079594.2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"AC083800.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084121.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC084337.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087289.3",1,5,4,0,0,3,1,3,1,4,0,0,0,0,0,0,2,0,12,0,8,24,0
"AC087498.1",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087632.1",23,73,11,103,48,54,51,17,57,17,7,49,30,22,28,14,18,27,27,0,20,0,0
"AC087721.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090004.1",27,123,47,78,52,50,69,128,77,18,26,93,31,19,39,51,18,0,84,21,56,66,0
"AC090227.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090360.1",13,20,13,33,42,0,13,41,16,4,3,4,2,5,5,2,6,22,0,32,14,10,0
"AC090517.4",12,38,1,0,0,21,33,10,57,8,7,19,18,12,11,2,31,0,0,0,19,0,0
"AC090527.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC091057.6",1,4,5,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC091167.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091167.6",0,17,0,0,0,10,4,7,1,7,2,0,2,0,0,2,0,0,0,0,0,0,0
"AC091167.7",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091551.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091959.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC092017.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092042.3",0,0,11,0,0,0,4,3,0,4,1,0,1,1,4,0,4,0,0,25,0,0,0
"AC092073.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092111.3",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AC092143.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092329.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092442.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092587.1",2,0,0,0,0,5,3,0,4,2,3,0,1,3,0,1,0,0,0,0,0,0,0
"AC092647.5",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC092718.3",9,14,32,9,32,15,23,45,24,9,15,38,17,10,3,18,7,0,0,58,0,36,0
"AC092718.8",2,1,0,0,0,7,8,0,6,2,0,0,1,0,0,4,1,0,0,0,0,0,22
"AC092835.1",25,39,40,165,26,135,280,116,30,68,48,32,23,105,108,19,222,286,25,7,0,78,0
"AC093155.3",13,22,3,14,0,26,18,7,25,5,6,32,6,12,4,15,9,0,12,0,0,11,0
"AC093227.2",0,0,0,0,0,12,1,5,2,2,0,0,1,0,0,1,0,0,0,0,0,0,26
"AC093323.1",407,382,614,168,77,162,850,269,732,502,539,273,487,460,290,426,588,61,429,712,833,697,256
"AC093423.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC093512.2",27,61,57,28,28,45,33,72,41,47,31,39,18,29,45,23,40,15,0,45,0,25,36
"AC093525.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC093525.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC093668.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC093668.3",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"AC093827.5",2,3,0,0,30,9,9,2,18,2,4,0,0,4,10,2,10,0,17,0,12,0,0
"AC093899.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC096582.3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC096887.1",17,55,22,7,0,90,45,96,92,8,11,23,16,10,41,9,17,0,12,44,0,24,0
"AC097104.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC097625.1",8,0,0,0,0,0,11,0,11,3,0,0,1,12,0,10,0,0,0,0,0,0,0
"AC097634.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC097636.1",0,1,1,0,0,0,12,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AC097637.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC098484.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC098588.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC098650.1",6,16,2,57,0,19,78,14,22,54,48,9,5,23,23,26,63,0,10,0,0,0,0
"AC098850.3",4,3,145,46,101,12,39,20,14,0,4,17,58,19,30,0,50,0,0,5,40,8,18
"AC099489.1",220,402,480,241,20,124,94,110,79,92,76,320,1300,332,146,27,51,514,128,85,0,58,71
"AC099811.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC099850.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC100868.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104109.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104304.1",3,3,0,0,0,6,9,0,23,7,3,11,5,0,1,0,0,0,0,0,28,0,0
"AC104389.4",19,33,16,43,0,9,19,16,30,6,15,18,3,4,14,0,11,0,6,0,0,0,0
"AC104389.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104452.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104472.3",23,33,3,0,30,1,38,8,28,13,3,5,9,18,2,6,2,26,4,0,0,4,0
"AC104532.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC104581.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC105052.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC105052.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC106774.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC106886.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC107871.1",43,100,102,53,110,90,87,69,236,60,42,78,52,54,55,36,57,0,76,147,10,155,0
"AC107959.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC108941.2",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC109583.3",0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0
"AC110275.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC112128.1",48,119,31,49,55,109,196,135,194,64,71,93,39,58,56,32,80,0,28,12,32,70,47
"AC112229.3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"AC112504.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC113348.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC113348.2",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"AC113554.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"AC114490.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC114490.3",16,28,46,12,0,16,36,50,82,15,13,24,9,11,10,11,15,0,0,49,0,3,0
"AC115220.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC116366.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC117378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC117457.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC118470.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC118549.1",2289,3997,2048,1423,1782,2341,6604,2560,6858,1655,3922,2469,1974,2501,2602,2218,2704,161,2259,1848,2233,2641,430
"AC118553.2",44,120,17,74,102,49,92,90,144,28,69,113,37,54,74,34,19,0,27,0,20,15,0
"AC119396.1",19,22,112,1,42,26,29,23,6,23,32,37,19,29,0,6,109,172,0,0,0,11,0
"AC119674.2",8,13,0,31,0,0,18,22,8,6,5,4,18,12,8,5,1,0,0,0,0,0,0
"AC119676.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC120057.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC120114.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC124312.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC126283.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC127029.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC129492.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC131097.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC131160.1",0,0,0,0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC134669.1",0,1,0,0,0,4,1,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"AC134684.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC134684.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC134684.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC134980.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135050.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135068.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135068.2",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135068.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135068.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC135178.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC136428.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC137834.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC138647.1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC138696.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC138811.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC138894.1",0,4,0,0,1,0,3,3,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0
"AC138969.1",0,7,11,10,0,6,5,0,10,2,1,0,1,1,2,3,7,0,23,63,9,0,0
"AC139491.7",0,2,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC139530.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC140504.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC142391.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC144573.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC187653.1",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AC233723.1",13,5,6,0,0,3,9,7,5,3,0,0,1,2,2,5,0,0,0,0,0,3,0
"AC233992.2",0,0,5,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,20,1,0,0,0
"AC235565.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC243547.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC243967.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC244197.3",22,53,21,31,0,54,137,45,62,17,18,29,9,29,23,36,44,0,91,54,0,26,0
"AC244517.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC245033.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC245748.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC253536.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAA1",726,1605,2578,1267,1485,1734,2593,1847,2346,909,1506,1843,657,989,1438,928,865,1170,2032,2074,2194,3722,1277
"ACAA2",1717,2423,3582,1579,1408,1457,3051,1645,2472,1519,2334,1412,927,2385,1356,694,2053,164,4093,3639,1605,3435,1163
"ACACA",2663,6248,1738,2567,3630,3771,3154,3406,4901,2348,4496,4797,1339,2787,2357,1831,2300,1377,4178,1541,541,6409,114
"ACACB",604,1883,1420,1194,1038,1572,1431,1806,1166,776,933,1382,252,658,1036,354,1547,1427,772,1724,349,1849,207
"ACAD10",783,2194,1345,937,1254,1678,1473,1573,1460,538,900,1019,356,898,966,670,1193,635,1602,1604,874,1491,594
"ACAD11",64,113,110,25,84,175,158,100,82,56,55,89,36,57,36,41,68,286,111,49,14,9,11
"ACAD8",623,1140,1393,529,701,742,2035,624,473,708,957,778,475,576,496,539,622,419,1123,873,1108,1478,259
"ACAD9",1208,2363,2069,1007,1014,2019,2576,1780,2386,1126,1640,1495,858,1207,1198,943,1210,1694,1445,1673,1545,2486,521
"ACADL",1,0,2,1,0,1,3,1,0,1,1,0,0,0,10,3,5,0,0,0,0,0,34
"ACADM",879,1032,2335,578,1136,737,5339,622,2789,796,1674,688,1793,810,677,907,981,75,1282,1575,941,1849,707
"ACADS",1417,1548,2088,351,967,593,2742,717,866,821,816,511,387,745,473,640,499,193,358,851,888,432,792
"ACADSB",1090,2052,1743,435,1440,837,1435,738,1662,693,861,793,594,1196,286,785,773,29,1185,1381,502,1962,364
"ACADVL",5372,7303,13347,3642,7318,4599,16073,5219,11928,4154,5052,3781,4385,3115,8403,4027,6654,8030,9900,10682,4760,9819,5228
"ACAN",304,617,417,759,902,858,199,390,505,226,495,524,734,530,666,244,465,1,2029,433,129,355,82
"ACAP1",375,589,3379,163,241,472,444,436,57,319,508,486,153,571,124,326,466,1016,1054,301,115,213,377
"ACAP2",4397,7645,4887,3176,2876,3840,9779,1789,7194,4016,5232,4000,3221,3882,3769,3033,3858,729,2508,2375,1934,4344,950
"ACAP3",971,2064,1909,1393,2631,1626,2170,3019,2652,1335,770,1357,611,821,2022,986,806,4400,2209,2166,1344,1409,46
